Twitter ID	Party
304991157	ndp
65624152	liberal
398241429	tory
272183541	tory
218677733	tory
378207083	liberal
14260960	liberal
242827267	tory
286229457	ndp
212295349	tory
271505228	tory
17314758	ndp
18654401	ndp
45631939	tory
40550119	liberal
25127782	liberal
288970758	ndp
68995519	tory
283179858	tory
1449023288	tory
19557595	ndp
271073165	liberal
44718864	tory
72652039	tory
272056371	tory
156288226	tory
24171225	tory
34041396	tory
276595482	ndp
20390307	tory
121483664	tory
196717787	ndp
54962166	ndp
273139118	tory
45923631	tory
2817975217	tory
334802268	ndp
72905123	tory
24474900	tory
275821378	tory
171977015	liberal
72663989	ndp
266635199	liberal
272617171	tory
243690594	ndp
45637133	tory
256360738	tory
434271579	ndp
188359178	liberal
243847328	tory
110396108	liberal
35826823	tory
266855812	ndp
22244391	tory
19881863	ndp
274831602	tory
226344619	tory
27823555	ndp
24403218	tory
14538949	tory
263553593	liberal
99334624	tory
21123463	tory
464871646	ndp
327038655	ndp
529665584	ndp
16180205	liberal
63210367	tory
276234003	tory
26282371	ndp
17559395	liberal
19750015	ndp
76710096	liberal
76143039	liberal
55687338	tory
69050763	tory
59084035	liberal
274328258	tory
60916234	ndp
16307818	ndp
139407582	tory
1449320024	tory
176207343	tory
271959297	tory
80702644	liberal
92091739	ndp
305695167	ndp
2459904061	tory
280831905	ndp
240786249	liberal
369088384	ndp
62909691	ndp
2791988124	tory
20159038	tory
68452445	tory
129395750	tory
16189107	ndp
620605132	ndp
16278177	tory
363997684	ndp
18585980	ndp
245954929	liberal
