Twitter ID	Party
1155212191	Republican
161411080	Democrat
2953974395	Republican
266133081	Republican
15745368	Republican
133832049	Democrat
24195214	Democrat
14377605	Democrat
14275291	Republican
21111098	Republican
235271965	Republican
202206694	Republican
1061385474	Democrat
29501253	Democrat
1072008757	Republican
66602794	Republican
2253968388	Republican
292990703	Democrat
1444015610	Republican
968650362	Republican
486694111	Democrat
1134292500	Democrat
18695134	Democrat
231592153	Democrat
211530910	Republican
224294785	Republican
115979444	Democrat
190328374	Republican
2962868158	Democrat
63169388	Democrat
43910797	Democrat
2964526557	Republican
258900199	Democrat
20113797	Democrat
109287731	Democrat
1080509366	Democrat
314205957	Republican
1051446626	Republican
2852998461	Republican
20015903	Republican
2856787757	Republican
39525554	Republican
58379000	Republican
16056306	Republican
16160352	Democrat
993153006	Republican
18277655	Republican
246769138	Republican
19407835	Republican
18137749	Democrat
995193054	Democrat
1880674038	Democrat
1060370282	Republican
153944899	Democrat
1206227149	Democrat
912608010	Republican
22669526	Democrat
37920978	Republican
7429102	Democrat
32010840	Republican
970207298	Democrat
22527499	Republican
2976606250	Republican
296361085	Republican
2914515430	Republican
262756641	Republican
219429281	Republican
158398519	Democrat
216776631	Democrat
22545491	Republican
24913074	Democrat
15985455	Republican
432771620	Democrat
1077121945	Democrat
104198706	Democrat
2929491549	Republican
18023868	Republican
3122099613	Democrat
1135486501	Democrat
124224165	Republican
1209417007	Republican
239949176	Democrat
14135426	Democrat
31611298	Democrat
17907578	Democrat
467823431	Democrat
22812754	Democrat
1222257180	Democrat
113036476	Republican
303861808	Democrat
171598736	Democrat
248495200	Democrat
29450962	Democrat
137794015	Democrat
92186819	Democrat
240427862	Republican
217543151	Republican
213795411	Republican
2847221717	Republican
334894942	Democrat
13218102	Republican
17896154	Republican
339852137	Democrat
40302336	Democrat
2853309155	Republican
237862972	Republican
31801993	Democrat
48117116	Republican
515822213	Democrat
111635980	Democrat
1531521632	Democrat
24735461	Republican
2482022082	Republican
1849261916	Republican
162069635	Democrat
2293131060	Democrat
13491312	Democrat
26051676	Republican
2863006655	Democrat
234141596	Democrat
247334603	Democrat
248699486	Republican
150078976	Democrat
3018670151	Democrat
3353670647	Republican
23022687	Republican
310310133	Democrat
229592356	Republican
237299871	Republican
18915145	Republican
237814920	Republican
15207668	Republican
1077214808	Democrat
233737858	Republican
1058256326	Republican
161791703	Democrat
117777832	Republican
2987671552	Republican
234469322	Republican
193794406	Republican
47798449	Republican
19658173	Republican
1051127714	Democrat
581141508	Democrat
244268646	Republican
232268199	Democrat
1072467470	Democrat
26424123	Republican
82649553	Democrat
78403308	Republican
305620929	Democrat
2891210047	Republican
14344823	Republican
1060984272	Democrat
1180379185	Republican
38285038	Democrat
1155335864	Democrat
38254095	Democrat
1499993378	Republican
1045853744	Republican
194233791	Republican
1065995022	Republican
264219447	Republican
234812598	Republican
36948268	Democrat
2965083477	Republican
2862555526	Republican
584012853	Republican
18909919	Democrat
17513304	Republican
212262370	Republican
216881337	Republican
2382685057	Republican
239871673	Republican
55677432	Republican
172858784	Democrat
240812994	Democrat
976969338	Republican
24773493	Republican
84119348	Democrat
1061029050	Democrat
19926675	Republican
2862577383	Republican
18632666	Republican
11651202	Republican
221792092	Democrat
558769636	Democrat
1058717720	Democrat
60688326	Republican
236511574	Democrat
15764644	Democrat
2750127259	Republican
34308692	Democrat
109071031	Democrat
1058520120	Democrat
269992801	Republican
211420609	Republican
18020081	Republican
960962340	Republican
231510077	Democrat
234374703	Democrat
76649729	Republican
20053279	Republican
1072382221	Republican
47747074	Democrat
18916432	Republican
22012091	Democrat
16102244	Republican
2861616083	Republican
2914571740	Republican
19394188	Republican
245408102	Republican
1055907624	Democrat
65691824	Republican
15751083	Republican
252819642	Republican
63150856	Republican
29201047	Democrat
518644221	Republican
946549322	Democrat
1077446982	Republican
16789970	Democrat
963480595	Republican
3044993235	Democrat
85396297	Democrat
164007407	Democrat
90651198	Republican
241207373	Republican
29442313	Democrat
1260172386	Democrat
242892689	Democrat
2963445730	Republican
20217019	Republican
233949261	Republican
3021632183	Republican
15808765	Democrat
613725908	Republican
960696949	Republican
384913290	Democrat
935368364	Republican
216503958	Democrat
28599820	Democrat
240760644	Republican
935033864	Republican
261852987	Democrat
404132211	Democrat
233761277	Republican
2964351843	Democrat
237763317	Republican
2968007206	Democrat
1092979962	Democrat
2932617195	Republican
242836537	Democrat
19139963	Republican
248735463	Democrat
1074101017	Republican
1058051748	Republican
249219716	Republican
78445977	Democrat
476256944	Democrat
2964174789	Republican
198526130	Republican
20002401	Democrat
1623308912	Republican
242426145	Democrat
7334402	Democrat
2975091705	Republican
17976923	Republican
2962813893	Republican
113047940	Republican
291756142	Republican
1080844782	Democrat
2973870195	Republican
3141213592	Republican
73303753	Republican
168502762	Democrat
33655490	Republican
25073877	Republican
74198348	Republican
237312687	Republican
26778110	Republican
23593446	Democrat
131546062	Republican
25781141	Democrat
1339835893	Democrat
33537967	Democrat
56864092	Democrat
2953922782	Republican
221162525	Republican
75364211	Republican
234014087	Democrat
15600527	Republican
211588974	Republican
1074480192	Republican
851621377	Republican
21312077	Democrat
2966205003	Republican
234022257	Republican
249339682	Republican
193732179	Democrat
6577802	Republican
21157904	Republican
2964949642	Republican
88806753	Democrat
2964287128	Republican
249787913	Democrat
37094727	Republican
163570705	Democrat
2968451607	Democrat
15824288	Democrat
18773159	Republican
1074129612	Democrat
2966570782	Democrat
20467163	Republican
236279233	Democrat
1090002997	Democrat
1037321378	Democrat
2955485182	Republican
22523087	Democrat
11134252	Republican
222286905	Republican
138770045	Democrat
1045110018	Democrat
5558312	Republican
108376246	Democrat
2970462034	Democrat
28602948	Democrat
2891165960	Republican
140519774	Democrat
60828944	Democrat
432676344	Democrat
555474658	Republican
235312723	Republican
137407124	Republican
22509548	Republican
188019606	Democrat
15954997	Democrat
237348797	Republican
23600262	Democrat
50452197	Democrat
117501995	Democrat
584912320	Democrat
240363117	Republican
1099199839	Democrat
1074518754	Democrat
72198806	Democrat
1071402577	Republican
2933760046	Republican
293131808	Democrat
2560169238	Republican
225921757	Republican
950783972	Democrat
250188760	Democrat
19739126	Republican
942156122	Democrat
17544524	Republican
16583468	Democrat
27676828	Republican
20552026	Democrat
18166778	Republican
110545675	Republican
242555999	Democrat
21406834	Democrat
21269970	Republican
17494010	Democrat
1262814457	Democrat
339822881	Republican
15394954	Republican
1048784496	Republican
600463589	Republican
148453195	Democrat
516880804	Democrat
15361570	Democrat
73238146	Democrat
213634439	Republican
234822928	Republican
33576489	Democrat
950328072	Republican
233842454	Republican
164369297	Democrat
246341769	Republican
240393970	Republican
80612021	Democrat
296245061	Republican
24745957	Democrat
479872233	Democrat
155669457	Democrat
22055226	Republican
240778059	Democrat
18061669	Republican
2964222544	Republican
17800215	Republican
2962994194	Republican
2916086925	Democrat
18030431	Republican
787373558	Democrat
231108733	Democrat
43963249	Democrat
33563161	Democrat
